token,freq
VENDOR_A,600
PY_CTYPE,445
FIAT_USD,333
STABLE_USDT,333
FIAT_EUR,333
VALID_TAPROOT,313
VALID_P2WPKH,311
VENDOR_B,300
VENDOR_C,300
TCP_RENO,286
TCP_CUBIC,286
QUEUE_MM1,286
ETH_MAINNET,285
VARINT_U,235
TIMER_WHEEL,125
FLOW_CONTROL,125
ETH_USDT,16
IMX_USDT,16
CL5_C7_ENDIAN_SWAP32_0001,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0001,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0001,3
CL5_C7_NETWORK_NTOHL32_0001,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0001,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0001,3
CL5_C7_BITFIELD_STORAGE_BYTES_0001,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0001,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0001,3
CL5_C7_NETWORK_HTONS16_0001,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0001,3
CL5_C7_ENDIAN_SWAP32_0002,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0002,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0002,3
CL5_C7_NETWORK_NTOHL32_0002,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0002,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0002,3
CL5_C7_BITFIELD_STORAGE_BYTES_0002,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0002,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0002,3
CL5_C7_NETWORK_HTONS16_0002,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0002,3
CL5_C7_ENDIAN_SWAP32_0003,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0003,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0003,3
CL5_C7_NETWORK_NTOHL32_0003,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0003,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0003,3
CL5_C7_BITFIELD_STORAGE_BYTES_0003,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0003,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0003,3
CL5_C7_NETWORK_HTONS16_0003,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0003,3
CL5_C7_ENDIAN_SWAP32_0004,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0004,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0004,3
CL5_C7_NETWORK_NTOHL32_0004,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0004,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0004,3
CL5_C7_BITFIELD_STORAGE_BYTES_0004,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0004,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0004,3
CL5_C7_NETWORK_HTONS16_0004,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0004,3
CL5_C7_ENDIAN_SWAP32_0005,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0005,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0005,3
CL5_C7_NETWORK_NTOHL32_0005,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0005,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0005,3
CL5_C7_BITFIELD_STORAGE_BYTES_0005,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0005,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0005,3
CL5_C7_NETWORK_HTONS16_0005,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0005,3
CL5_C7_ENDIAN_SWAP32_0006,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0006,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0006,3
CL5_C7_NETWORK_NTOHL32_0006,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0006,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0006,3
CL5_C7_BITFIELD_STORAGE_BYTES_0006,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0006,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0006,3
CL5_C7_NETWORK_HTONS16_0006,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0006,3
CL5_C7_ENDIAN_SWAP32_0007,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0007,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0007,3
CL5_C7_NETWORK_NTOHL32_0007,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0007,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0007,3
CL5_C7_BITFIELD_STORAGE_BYTES_0007,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0007,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0007,3
CL5_C7_NETWORK_HTONS16_0007,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0007,3
CL5_C7_ENDIAN_SWAP32_0008,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0008,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0008,3
CL5_C7_NETWORK_NTOHL32_0008,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0008,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0008,3
CL5_C7_BITFIELD_STORAGE_BYTES_0008,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0008,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0008,3
CL5_C7_NETWORK_HTONS16_0008,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0008,3
CL5_C7_ENDIAN_SWAP32_0009,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0009,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0009,3
CL5_C7_NETWORK_NTOHL32_0009,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0009,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0009,3
CL5_C7_BITFIELD_STORAGE_BYTES_0009,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0009,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0009,3
CL5_C7_NETWORK_HTONS16_0009,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0009,3
CL5_C7_ENDIAN_SWAP32_0010,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0010,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0010,3
CL5_C7_NETWORK_NTOHL32_0010,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0010,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0010,3
CL5_C7_BITFIELD_STORAGE_BYTES_0010,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0010,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0010,3
CL5_C7_NETWORK_HTONS16_0010,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0010,3
CL5_C7_ENDIAN_SWAP32_0011,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0011,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0011,3
CL5_C7_NETWORK_NTOHL32_0011,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0011,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0011,3
CL5_C7_BITFIELD_STORAGE_BYTES_0011,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0011,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0011,3
CL5_C7_NETWORK_HTONS16_0011,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0011,3
CL5_C7_ENDIAN_SWAP32_0012,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0012,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0012,3
CL5_C7_NETWORK_NTOHL32_0012,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0012,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0012,3
CL5_C7_BITFIELD_STORAGE_BYTES_0012,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0012,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0012,3
CL5_C7_NETWORK_HTONS16_0012,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0012,3
CL5_C7_ENDIAN_SWAP32_0013,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0013,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0013,3
CL5_C7_NETWORK_NTOHL32_0013,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0013,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0013,3
CL5_C7_BITFIELD_STORAGE_BYTES_0013,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0013,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0013,3
CL5_C7_NETWORK_HTONS16_0013,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0013,3
CL5_C7_ENDIAN_SWAP32_0014,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0014,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0014,3
CL5_C7_NETWORK_NTOHL32_0014,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0014,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0014,3
CL5_C7_BITFIELD_STORAGE_BYTES_0014,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0014,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0014,3
CL5_C7_NETWORK_HTONS16_0014,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0014,3
CL5_C7_ENDIAN_SWAP32_0015,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0015,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0015,3
CL5_C7_NETWORK_NTOHL32_0015,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0015,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0015,3
CL5_C7_BITFIELD_STORAGE_BYTES_0015,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0015,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0015,3
CL5_C7_NETWORK_HTONS16_0015,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0015,3
CL5_C7_ENDIAN_SWAP32_0016,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0016,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0016,3
CL5_C7_NETWORK_NTOHL32_0016,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0016,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0016,3
CL5_C7_BITFIELD_STORAGE_BYTES_0016,3
CL5_C7_FFI_DLOPEN_FLAGS_MASK_0016,3
CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0016,3
CL5_C7_NETWORK_HTONS16_0016,3
CL5_C7_HRESULT_IS_FAILURE_BIT_0016,3
CL5_C7_ENDIAN_SWAP32_0017,3
CL5_C7_CALLCONV_CDECL_STACK_BYTES_0017,3
CL5_C7_VARINT_ULEB128_SIZE_BYTES_0017,3
CL5_C7_NETWORK_NTOHL32_0017,3
CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0017,3
CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0017,3
